Country,Site_Formation,Locality,Member,Latitude,Longitude,MeanAge_Ma,Age_ref,Paran_nisp,NonParanMamm_nisp,Paran_ref,Mamm_ref,Notes
Ethiopia,Gona,NA,Boolihanan,11.15,40.32,1.6,Everett 2010,0,211,NA,Everett 2010,
Ethiopia,Gona,NA,Dark Paleosol,11.15,40.32,1.15,Everett 2010,0,222,NA,Everett 2010,
Ethiopia,Bouri,NA,Hatayae,10.15,40.33,2.5,de Heinzelin et al. 1999,0,582,NA,Tim White (pers. comm.),
Ethiopia,Bouri,NA,Dakanihylo,10.28,40.53,1,WoldeGabriel et al. 2009,0,690,NA,Gilbert & Asfaw 2008,"For data from appendices, only counted specimen numbers once because every tooth is measured"
Ethiopia,Mille-Logya,NA,Gafura,11.58,40.81,2.9,Mille-Logiya Project,0,249,NA,Mille-Logya Project,
Ethiopia,Mille-Logya,NA,Seraitu,11.58,40.81,2.7,Mille-Logiya Project,0,1204,NA,Mille-Logya Project,
Ethiopia,Mille-Logya,NA,Uraitele,11.58,40.81,2.45,Mille-Logiya Project,0,234,NA,Mille-Logya Project,
Ethiopia,Hadar,NA,KH2,11.1,40.58,3,Campisano and Feibel 2007,0,663,NA,Hadar Research Project Database,
Ethiopia,Hadar,NA,Makaamitalu,11.1,40.58,2.35,Kimbel et al. 1996,0,173,NA,Hadar Research Project Database,
Ethiopia,Hadar,NA,Danauli,11.1,40.58,2,Rowan et al. in prep.,0,144,NA,Hadar Research Project Database,
Ethiopia,Ledi-Geraru,NA,Gurumaha,11.4,40.9,2.8,DiMaggio et al. 2015,0,630,NA,Ledi-Geraru Research Project Database,
Ethiopia,Ledi-Geraru,NA,Lee Adoyta,11.4,40.9,2.6,DiMaggio et al. 2015,0,340,NA,Ledi-Geraru Research Project Database,
Ethiopia,Omo Shungura,NA,C,5,36,2.8,McDougall et al. 2012,6,6453,Wood & Leakey 2011,Omo French & American Databases,
Ethiopia,Omo Shungura,NA,D,5,36,2.5,McDougall et al. 2012,4,1432,Wood & Leakey 2011,Omo French & American Databases,
Ethiopia,Omo Shungura,NA,E,5,36,2.36,McDougall et al. 2012,16,3600,Wood & Leakey 2011,Omo French & American Databases,
Ethiopia,Omo Shungura,NA,F,5,36,2.3,McDougall et al. 2012,21,6277,Wood & Leakey 2011,Omo French & American Databases,
Ethiopia,Omo Shungura,NA,G,5,36,2,McDougall et al. 2012,34,17099,Wood & Leakey 2011,Omo French & American Databases,Paranthropus NISP inflated due to OMO 323-76-896 specimens
Ethiopia,Omo Shungura,NA,H,5,36,1.8,McDougall et al. 2012,0,1138,NA,Omo French & American Databases,
Ethiopia,Omo Shungura,NA,J,5,36,1.65,McDougall et al. 2012,0,358,NA,Omo French & American Databases,
Ethiopia,Omo Shungura,NA,K,5,36,1.5,McDougall et al. 2012,1,678,Wood & Leakey 2011,Omo French & American Databases,
